iter	Logloss
0	0.6673486146
1	0.6431432015
2	0.6205043994
3	0.5995166025
4	0.5802387717
5	0.5622018698
6	0.5456546639
7	0.5299879328
8	0.5153928548
9	0.5018287162
10	0.4889528471
11	0.4769316387
12	0.4662473426
13	0.4562294006
14	0.446597924
15	0.4375997114
16	0.4291821711
17	0.4208660071
18	0.4133145654
19	0.4066040881
20	0.4004052567
21	0.3942356807
22	0.388492837
23	0.3831558604
24	0.378193438
25	0.3734599698
26	0.3692190696
27	0.3651902687
28	0.3613426921
29	0.3577483922
30	0.3544448595
31	0.351501804
32	0.348534585
33	0.3457668741
34	0.343060302
35	0.3405564818
36	0.3382913978
37	0.3361741985
38	0.3341054174
39	0.3322026433
40	0.3303540337
41	0.328563647
42	0.3270162629
43	0.3254684515
44	0.3239583576
45	0.322541107
46	0.3212247907
47	0.3199067873
48	0.3186697425
49	0.3174792698
50	0.3164181795
51	0.3153448408
52	0.3143132642
53	0.3133524525
54	0.3123777258
55	0.3114770845
56	0.3106398502
57	0.3097996043
58	0.3090288157
59	0.3082482494
60	0.3074925708
61	0.306819912
62	0.3060935489
63	0.3054169918
64	0.3048123056
65	0.3041835306
66	0.3035938673
67	0.3030273814
68	0.3024332162
69	0.3019377777
70	0.3014176866
71	0.3009116169
72	0.3003947955
73	0.2998996989
74	0.299464205
75	0.29901319
76	0.2985370479
77	0.2981116487
78	0.2976824466
79	0.2972684077
80	0.2968716027
81	0.2964622445
82	0.2960697738
83	0.2956724416
84	0.2952601942
85	0.2948859424
86	0.2945285842
87	0.2941950536
88	0.2938155391
89	0.2934451866
90	0.2930864479
91	0.2927308409
92	0.2924074344
93	0.2920970289
94	0.2917591385
95	0.2914320464
96	0.291115424
97	0.2908221623
98	0.2905204105
99	0.2901994669
100	0.2898872419
101	0.2895913949
102	0.2892880942
103	0.2890000918
104	0.2887057875
105	0.2884329336
106	0.2881407472
107	0.2878395451
108	0.2875424132
109	0.2872514068
110	0.2869760807
111	0.2866954011
112	0.2864234209
113	0.2861404606
114	0.2858674013
115	0.2856192491
116	0.2853590322
117	0.2851130068
118	0.2848473166
119	0.2845850297
120	0.2843299548
121	0.284076258
122	0.2838193899
123	0.2835676667
124	0.2833342858
125	0.2830736205
126	0.2828290664
127	0.2825806307
128	0.2823455817
129	0.2821143699
130	0.281883111
131	0.2816587691
132	0.281414217
133	0.2811872142
134	0.2809535974
135	0.2807243673
136	0.2805068717
137	0.2802726541
138	0.2800488833
139	0.2798133499
140	0.279580637
141	0.279371503
142	0.2791281868
143	0.2789163163
144	0.2786902638
145	0.2784691845
146	0.2782539874
147	0.2780391189
148	0.2778289597
149	0.2776205456
150	0.277395175
151	0.277184948
152	0.2769788131
153	0.2767628834
154	0.276547053
155	0.2763442816
156	0.2761627666
157	0.2759524186
158	0.2757477069
159	0.2755434285
160	0.275338423
161	0.2751414155
162	0.2749574521
163	0.2747484895
164	0.2745355022
165	0.2743349421
166	0.2741326679
167	0.2739484806
168	0.2737611339
169	0.2735641904
170	0.2733581932
171	0.2731605325
172	0.2729856224
173	0.2728098893
174	0.2726236171
175	0.2724374198
176	0.2722490739
177	0.2720565735
178	0.2718842967
179	0.2716991311
180	0.2715154972
181	0.2713414955
182	0.2711556428
183	0.2709541993
184	0.2707740945
185	0.2706038257
186	0.270421095
187	0.2702418961
188	0.2700536204
189	0.2698825619
190	0.2697052523
191	0.2695166242
192	0.2693398188
193	0.2691700668
194	0.2689791158
195	0.2688098437
196	0.2686274312
197	0.2684543957
198	0.268290861
199	0.2681322666
200	0.2679546029
201	0.2677819226
202	0.267620959
203	0.2674523034
204	0.2672814337
205	0.2671299839
206	0.2669683012
207	0.2668023935
208	0.2666261122
209	0.2664555216
210	0.2663019551
211	0.2661261512
212	0.2659803449
213	0.2658092391
214	0.265648406
215	0.265498821
216	0.2653201338
217	0.2651677521
218	0.2650043197
219	0.2648359705
220	0.2646579005
221	0.2644988023
222	0.2643471157
223	0.2642069013
224	0.2640520509
225	0.2638876678
226	0.2637380792
227	0.2635824858
228	0.263428482
229	0.2632745603
230	0.2631325161
231	0.2629899601
232	0.2628369313
233	0.2626966392
234	0.2625518322
235	0.2623937246
236	0.2622510369
237	0.2620993698
238	0.2619588273
239	0.2618155137
240	0.2616679076
241	0.2615118667
242	0.2613596563
243	0.2612114804
244	0.2610730909
245	0.2609275013
246	0.2607912004
247	0.260647531
248	0.2605019988
249	0.2603390141
250	0.2601950173
251	0.2600491379
252	0.2598863814
253	0.2597416251
254	0.2596074985
255	0.259468414
256	0.2593405956
257	0.2591897177
258	0.2590567855
259	0.2589151273
260	0.258768246
261	0.2586198265
262	0.258467715
263	0.2583375166
264	0.2581867622
265	0.2580514692
266	0.2579149472
267	0.257776794
268	0.2576459248
269	0.2575187147
270	0.2573921228
271	0.2572563954
272	0.2571341837
273	0.2570056496
274	0.2568709107
275	0.2567562774
276	0.2566234123
277	0.2565049398
278	0.2563716586
279	0.2562377876
280	0.2560998431
281	0.2559672345
282	0.2558362437
283	0.2557034964
284	0.255579661
285	0.2554544197
286	0.255325788
287	0.2551922611
288	0.2550709848
289	0.2549517606
290	0.2548290177
291	0.2546955502
292	0.2545748989
293	0.2544444416
294	0.2543270308
295	0.2542028052
296	0.2540757495
297	0.253959295
298	0.2538335904
299	0.2537316489
300	0.2536086646
301	0.2534926029
302	0.2533795784
303	0.253261195
304	0.2531403359
305	0.2530216363
306	0.2528987803
307	0.2527811573
308	0.2526555373
309	0.2525375215
310	0.2524136447
311	0.2523055977
312	0.2522088521
313	0.252085658
314	0.2519823379
315	0.2518642676
316	0.2517585922
317	0.2516506711
318	0.2515431805
319	0.2514395195
320	0.2513232457
321	0.2512140465
322	0.2510917166
323	0.250978521
324	0.2508613036
325	0.2507556171
326	0.2506407963
327	0.2505294402
328	0.2504278291
329	0.2503127202
330	0.2501959687
331	0.2500901955
332	0.249968659
333	0.2498616947
334	0.2497548147
335	0.2496438679
336	0.2495385697
337	0.2494312657
338	0.2493211234
339	0.249218033
340	0.2491132006
341	0.2490039702
342	0.2488927585
343	0.2487861021
344	0.2486823933
345	0.2485816991
346	0.2484727456
347	0.2483645723
348	0.2482583037
349	0.2481527866
350	0.2480367316
351	0.2479304522
352	0.2478354542
353	0.2477376321
354	0.2476278024
355	0.2475238995
356	0.247426578
357	0.2473175604
358	0.2471989244
359	0.2470914247
360	0.246972969
361	0.2468774974
362	0.2467768205
363	0.2466898895
364	0.2465990439
365	0.2464910856
366	0.2463824433
367	0.2462749222
368	0.2461782049
369	0.2460825983
370	0.2459831611
371	0.2458920173
372	0.2457901176
373	0.2456775297
374	0.2455822927
375	0.2454690825
376	0.2453833723
377	0.2452793079
378	0.2451797287
379	0.2450879122
380	0.2449862773
381	0.2448833665
382	0.2447837832
383	0.2446906046
384	0.2445944957
385	0.2444886647
386	0.2443872746
387	0.2442847049
388	0.2441866408
389	0.244085383
390	0.2439872171
391	0.243891744
392	0.2438047805
393	0.2437092576
394	0.243611413
395	0.2435080794
396	0.2434131205
397	0.2433133483
398	0.2432251749
399	0.2431289262
400	0.2430322133
401	0.2429435694
402	0.242853166
403	0.2427619686
404	0.2426616802
405	0.242569128
406	0.2424715406
407	0.2423790028
408	0.2422786629
409	0.2421791228
410	0.2420972347
411	0.2420058602
412	0.2419069623
413	0.2418214292
414	0.2417328286
415	0.24164527
416	0.2415508882
417	0.2414652374
418	0.2413702011
419	0.2412857495
420	0.2411927765
421	0.2411044728
422	0.2410111628
423	0.24092297
424	0.2408349426
425	0.2407502901
426	0.2406679265
427	0.2405785529
428	0.2404838545
429	0.2404006676
430	0.2403186539
431	0.2402303379
432	0.2401375839
433	0.2400593893
434	0.239963236
435	0.2398728556
436	0.2397820164
437	0.2396916824
438	0.239600032
439	0.2395099874
440	0.2394237899
441	0.2393383007
442	0.23924695
443	0.2391580783
444	0.2390697442
445	0.2389900524
446	0.2389024778
447	0.2388192727
448	0.2387364779
449	0.2386499373
450	0.2385627028
451	0.2384790797
452	0.2383897499
453	0.2383043616
454	0.2382087981
455	0.2381246462
456	0.2380444246
457	0.237959683
458	0.2378780294
459	0.2377900205
460	0.2377095421
461	0.237619747
462	0.2375379112
463	0.2374481616
464	0.2373676367
465	0.2372825284
466	0.2372050831
467	0.2371345804
468	0.2370591592
469	0.236983831
470	0.236911598
471	0.236834276
472	0.2367457536
473	0.2366603813
474	0.2365747442
475	0.2364909548
476	0.2364167263
477	0.2363423332
478	0.2362502731
479	0.2361699208
480	0.2360942553
481	0.2360042723
482	0.2359130771
483	0.2358388114
484	0.2357618948
485	0.235687449
486	0.2356065108
487	0.2355352602
488	0.2354578212
489	0.2353782138
490	0.2352982255
491	0.2352215287
492	0.2351415551
493	0.2350714636
494	0.2350060529
495	0.2349342538
496	0.2348520862
497	0.2347790202
498	0.2347060367
499	0.2346390832
500	0.2345609735
501	0.2344776157
502	0.2343977931
503	0.2343232519
504	0.2342416312
505	0.2341646196
506	0.2340838408
507	0.2340039472
508	0.2339358896
509	0.2338503266
510	0.2337757059
511	0.2336978625
512	0.2336282212
513	0.2335483516
514	0.2334840601
515	0.2334175542
516	0.2333442385
517	0.2332681196
518	0.2331978244
519	0.2331209407
520	0.2330379536
521	0.2329621524
522	0.232885504
523	0.2328070773
524	0.2327255525
525	0.2326430092
526	0.2325605937
527	0.2324849294
528	0.2324219427
529	0.2323492043
530	0.2322661982
531	0.2321949754
532	0.2321190244
533	0.2320428094
534	0.2319622838
535	0.2318890625
536	0.231814782
537	0.2317425319
538	0.2316788181
539	0.2316139331
540	0.2315446771
541	0.2314806926
542	0.2314057247
543	0.2313432854
544	0.2312730396
545	0.2311975848
546	0.2311249261
547	0.2310514409
548	0.2309781357
549	0.2309074009
550	0.2308446778
551	0.2307777265
552	0.2307128591
553	0.2306424866
554	0.2305787385
555	0.230509862
556	0.2304376275
557	0.2303653058
558	0.2302965608
559	0.2302243041
560	0.230157609
561	0.2300968091
562	0.2300284824
563	0.2299648999
564	0.2298899657
565	0.2298278778
566	0.2297680184
567	0.229702834
568	0.229627659
569	0.2295634999
570	0.229491129
571	0.2294216761
572	0.2293557317
573	0.2292843426
574	0.2292200371
575	0.2291606891
576	0.2290905276
577	0.2290242991
578	0.228954931
579	0.2288840468
580	0.2288243073
581	0.2287534607
582	0.2286908936
583	0.2286227919
584	0.2285451791
585	0.2284799233
586	0.2284149484
587	0.2283500364
588	0.228292972
589	0.2282276417
590	0.228166609
591	0.2280974257
592	0.2280266247
593	0.2279581322
594	0.2278946383
595	0.2278222353
596	0.2277591421
597	0.2276944605
598	0.2276193074
599	0.2275570726
600	0.2274970055
601	0.2274373658
602	0.227376697
603	0.227319862
604	0.2272577903
605	0.227194242
606	0.2271417531
607	0.2270790626
608	0.2270260751
609	0.2269686634
610	0.2269029424
611	0.2268404088
612	0.2267773542
613	0.226714042
614	0.2266568502
615	0.2266035797
616	0.2265349726
617	0.2264668422
618	0.2264030307
619	0.2263488937
620	0.2262920142
621	0.2262339092
622	0.226167315
623	0.226101991
624	0.2260389259
625	0.225973147
626	0.2259136712
627	0.225848203
628	0.2257848501
629	0.2257265538
630	0.2256731914
631	0.225602327
632	0.225547209
633	0.2254887745
634	0.2254257706
635	0.2253640581
636	0.22530807
637	0.2252457588
638	0.2251874368
639	0.2251263717
640	0.2250608208
641	0.2250031716
642	0.2249493622
643	0.2248849389
644	0.2248304691
645	0.2247762055
646	0.2247129966
647	0.2246495378
648	0.2245895138
649	0.2245376755
650	0.2244783015
651	0.224423339
652	0.2243695765
653	0.2243066611
654	0.2242524268
655	0.2241988922
656	0.2241388207
657	0.224088148
658	0.2240247287
659	0.2239602095
660	0.223904978
661	0.2238481238
662	0.223791652
663	0.2237385048
664	0.2236850203
665	0.2236184308
666	0.2235541942
667	0.2235009081
668	0.2234376803
669	0.2233809471
670	0.2233296418
671	0.2232771965
672	0.2232130438
673	0.2231554033
674	0.2230997723
675	0.2230328346
676	0.2229664786
677	0.2229096752
678	0.2228518653
679	0.2227903861
680	0.2227330522
681	0.2226741552
682	0.2226109531
683	0.2225550861
684	0.2225100991
685	0.2224585225
686	0.2224052203
687	0.2223540547
688	0.2222974828
689	0.2222420588
690	0.2221840283
691	0.222127932
692	0.222073762
693	0.2220175486
694	0.2219633822
695	0.2219090272
696	0.221852199
697	0.2218044412
698	0.2217527978
699	0.221697526
700	0.221642038
701	0.2215872559
702	0.2215326762
703	0.2214756537
704	0.2214230016
705	0.2213700489
706	0.2213154834
707	0.2212685375
708	0.2212194909
709	0.2211625568
710	0.2211101698
711	0.2210626005
712	0.2210114577
713	0.2209627375
714	0.2209143538
715	0.2208682775
716	0.2208112607
717	0.2207613709
718	0.2207051858
719	0.2206457281
720	0.2205945107
721	0.2205372835
722	0.2204831327
723	0.2204279921
724	0.2203765039
725	0.2203300543
726	0.2202734755
727	0.2202295249
728	0.2201763576
729	0.2201243352
730	0.2200705854
731	0.2200213941
732	0.2199691699
733	0.2199229385
734	0.2198777671
735	0.2198239886
736	0.2197753081
737	0.219721305
738	0.2196703175
739	0.2196236306
740	0.2195820498
741	0.2195323786
742	0.2194816349
743	0.2194359337
744	0.2193934013
745	0.2193385672
746	0.2192839082
747	0.2192317189
748	0.2191814478
749	0.2191299808
750	0.2190818333
751	0.2190196024
752	0.2189633622
753	0.218914203
754	0.2188609573
755	0.2188178136
756	0.2187636508
757	0.2187181655
758	0.2186663808
759	0.218617785
760	0.218573375
761	0.2185233449
762	0.2184729461
763	0.218432673
764	0.2183883185
765	0.2183366745
766	0.2182858617
767	0.2182355446
768	0.2181839231
769	0.2181431976
770	0.21809618
771	0.2180428283
772	0.2179934686
773	0.2179519709
774	0.2178984433
775	0.2178506861
776	0.2177976547
777	0.217756146
778	0.2177135063
779	0.2176646862
780	0.2176137391
781	0.2175677304
782	0.2175165431
783	0.2174647528
784	0.2174068102
785	0.2173593216
786	0.2173143141
787	0.2172626495
788	0.2172186578
789	0.2171691851
790	0.2171280817
791	0.2170798821
792	0.2170325237
793	0.2169824005
794	0.2169410345
795	0.2168987348
796	0.2168462208
797	0.2168056086
798	0.216753552
799	0.2167000447
800	0.2166496413
801	0.2166030944
802	0.2165541057
803	0.2165148255
804	0.2164692852
805	0.2164253214
806	0.2163781852
807	0.2163320303
808	0.216284179
809	0.216241184
810	0.2161942905
811	0.216144357
812	0.2160927002
813	0.2160534974
814	0.2160108339
815	0.2159617587
816	0.2159184952
817	0.2158701192
818	0.2158244721
819	0.2157793284
820	0.2157308337
821	0.2156916984
822	0.2156439353
823	0.2156076747
824	0.2155622511
825	0.2155115546
826	0.2154574325
827	0.2154072135
828	0.2153593278
829	0.2153026473
830	0.2152557202
831	0.2152109669
832	0.2151622838
833	0.2151219812
834	0.2150782078
835	0.215039598
836	0.2149995528
837	0.2149586887
838	0.2149246225
839	0.2148801355
840	0.2148338384
841	0.2147909207
842	0.2147505885
843	0.2147027419
844	0.2146638131
845	0.2146207117
846	0.2145792259
847	0.2145362125
848	0.2144905069
849	0.2144462046
850	0.2144000749
851	0.2143523075
852	0.2143088866
853	0.2142666515
854	0.2142247068
855	0.2141827252
856	0.2141422197
857	0.2141069537
858	0.2140669127
859	0.2140169563
860	0.2139766347
861	0.2139283811
862	0.2138813544
863	0.2138360183
864	0.2137979402
865	0.2137601686
866	0.2137172719
867	0.213671528
868	0.2136232603
869	0.2135860118
870	0.2135446083
871	0.2134954154
872	0.2134531571
873	0.2134094573
874	0.2133615645
875	0.2133243647
876	0.2132890054
877	0.213247916
878	0.2132077881
879	0.2131642196
880	0.2131342169
881	0.2130890807
882	0.2130549667
883	0.2130105094
884	0.2129650821
885	0.2129218169
886	0.2128794244
887	0.2128389251
888	0.2127992731
889	0.2127523378
890	0.2127178912
891	0.2126743817
892	0.2126328208
893	0.2125961541
894	0.21255894
895	0.2125180442
896	0.2124740036
897	0.2124364991
898	0.2123907728
899	0.2123495862
900	0.2123043927
901	0.2122577139
902	0.2122197876
903	0.2121855572
904	0.2121413067
905	0.2121013779
906	0.2120662084
907	0.2120274749
908	0.2119922399
909	0.2119557746
910	0.2119199138
911	0.2118773188
912	0.2118352788
913	0.2117960606
914	0.2117545349
915	0.2117137166
916	0.2116742907
917	0.2116329531
918	0.2115974639
919	0.2115560682
920	0.2115128275
921	0.2114764896
922	0.2114335492
923	0.2113923202
924	0.2113559079
925	0.2113173882
926	0.2112722796
927	0.2112357717
928	0.2111903305
929	0.2111531178
930	0.2111174732
931	0.2110719143
932	0.2110355514
933	0.2109995226
934	0.2109569093
935	0.2109161623
936	0.2108782549
937	0.2108393834
938	0.2108076793
939	0.2107664565
940	0.2107350385
941	0.2106962866
942	0.2106527118
943	0.210609453
944	0.2105689239
945	0.2105267119
946	0.2104759752
947	0.2104384024
948	0.2103939231
949	0.2103527888
950	0.2103075093
