iter	Passed	Remaining
0	40	16185
1	82	16342
2	123	16394
3	169	16812
4	213	16886
5	253	16634
6	296	16653
7	340	16703
8	382	16613
9	426	16616
10	469	16613
11	512	16574
12	553	16488
13	597	16473
14	639	16426
15	685	16443
16	724	16316
17	764	16216
18	804	16127
19	845	16055
20	885	15987
21	929	15969
22	970	15905
23	1011	15847
24	1051	15773
25	1093	15723
26	1137	15717
27	1177	15639
28	1217	15577
29	1258	15519
30	1303	15519
31	1349	15514
32	1391	15478
33	1435	15451
34	1480	15434
35	1522	15395
36	1571	15417
37	1617	15408
38	1661	15375
39	1701	15317
40	1744	15274
41	1785	15221
42	1825	15154
43	1865	15090
44	1906	15037
45	1948	14993
46	1993	14974
47	2037	14942
48	2082	14919
49	2125	14876
50	2167	14831
51	2209	14784
52	2248	14724
53	2287	14657
54	2330	14618
55	2371	14570
56	2411	14509
57	2448	14437
58	2489	14388
59	2534	14362
60	2573	14299
61	2617	14268
62	2657	14216
63	2700	14178
64	2742	14135
65	2784	14091
66	2825	14041
67	2870	14016
68	2912	13969
69	2953	13923
70	2994	13876
71	3033	13818
72	3076	13780
73	3117	13733
74	3158	13684
75	3199	13639
76	3239	13589
77	3279	13538
78	3319	13487
79	3361	13446
80	3402	13401
81	3442	13350
82	3483	13304
83	3525	13261
84	3565	13214
85	3606	13168
86	3646	13118
87	3689	13080
88	3730	13036
89	3770	12986
90	3815	12954
91	3857	12913
92	3901	12878
93	3941	12830
94	3981	12781
95	4023	12739
96	4064	12696
97	4107	12657
98	4148	12612
99	4190	12570
100	4232	12531
101	4277	12496
102	4319	12454
103	4361	12413
104	4403	12372
105	4445	12330
106	4487	12287
107	4528	12244
108	4572	12206
109	4615	12169
110	4656	12124
111	4698	12082
112	4741	12041
113	4782	11998
114	4823	11953
115	4865	11911
116	4907	11870
117	4949	11827
118	4990	11783
119	5030	11737
120	5073	11698
121	5115	11657
122	5157	11614
123	5200	11575
124	5241	11531
125	5281	11486
126	5321	11438
127	5361	11392
128	5400	11345
129	5442	11303
130	5481	11256
131	5519	11206
132	5560	11163
133	5600	11116
134	5640	11072
135	5680	11026
136	5721	10983
137	5763	10942
138	5808	10905
139	5852	10868
140	5894	10826
141	5937	10787
142	5977	10743
143	6015	10694
144	6060	10658
145	6102	10617
146	6144	10574
147	6185	10532
148	6228	10492
149	6270	10450
150	6311	10407
151	6355	10369
152	6396	10326
153	6440	10288
154	6483	10247
155	6525	10206
156	6564	10160
157	6603	10113
158	6642	10068
159	6685	10028
160	6726	9984
161	6770	9946
162	6810	9902
163	6854	9864
